age,marital,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,previously_contacted,job,education,default,housing,loan,contact
56,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,3.0,0.0,0.0,0.0,0.0,1.0
37,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,7.0,3.0,0.0,1.0,0.0,1.0
40,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,0.0,1.0,0.0,0.0,0.0,1.0
56,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,7.0,3.0,0.0,0.0,1.0,1.0
59,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,0.0,5.0,0.0,0.0,0.0,1.0
24,1,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,9.0,5.0,0.0,1.0,0.0,1.0
25,1,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,7.0,3.0,0.0,1.0,0.0,1.0
25,1,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,7.0,3.0,0.0,1.0,0.0,1.0
29,1,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,1.0,3.0,0.0,0.0,1.0,1.0
57,0,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,3.0,0.0,0.0,1.0,0.0,1.0
35,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,1.0,1.0,0.0,1.0,0.0,1.0
35,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,1.0,1.0,0.0,1.0,0.0,1.0
50,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,1.0,2.0,0.0,1.0,1.0,1.0
30,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,10.0,3.0,0.0,0.0,0.0,1.0
55,1,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,5.0,3.0,0.0,1.0,0.0,1.0
41,1,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,9.0,3.0,0.0,1.0,0.0,1.0
37,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,0.0,3.0,0.0,1.0,0.0,1.0
35,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,9.0,6.0,0.0,0.0,1.0,1.0
54,0,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,1.0,0.0,0.0,0.0,0.0,1.0
34,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,7.0,3.0,0.0,0.0,0.0,1.0
52,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,9.0,2.0,0.0,1.0,0.0,1.0
41,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,0.0,6.0,0.0,1.0,0.0,1.0
56,2,5,0,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,False,9.0,0.0,0.0,1.0,0.0,1.0
